,Time,Scenario,Carbon price (US$2010/t CO2),Cost E12,Cost E3,Reduced Asset E12,Reduced Asset E123,PD E12,PD E123,A/D E12,A/D E123
0,2025,Nationally Determined Contributions (NDCs) ,25.6532531474326,5746328705.024902,16674614545.83119,270025989934.8051,253351375388.97394,1.2697511977418795e-33,6.375020445233232e-32,10.051836049294117,9.431116200659037
1,2030,Nationally Determined Contributions (NDCs) ,76.7320264625369,17187973927.608265,49875817200.64898,258584344712.22174,208708527511.57275,1.836617759092275e-32,4.919639296333664e-27,9.625915781621494,7.769266584829247
2,2035,Nationally Determined Contributions (NDCs) ,86.9034962083527,19466383150.671005,56487272535.42926,256305935489.159,199818662953.72974,3.1518236539083854e-32,5.377685188274874e-26,9.541100997796589,7.438337472941004
3,2040,Nationally Determined Contributions (NDCs) ,88.8078574230948,19892960062.773235,57725107325.01162,255879358577.0568,198154251252.04517,3.4882384719854573e-32,8.466719543619887e-26,9.52522148492488,7.376379016468355
4,2045,Nationally Determined Contributions (NDCs) ,90.7122186378369,20319536974.875465,58962942114.59399,255452781664.95456,196489839550.36057,3.86093230195057e-32,1.3356449052529465e-25,9.509341972053171,7.314420559995703
5,2050,Nationally Determined Contributions (NDCs) ,92.616579852579,20746113886.977695,60200776904.176346,255026204752.85233,194825427848.67596,4.2738576660055236e-32,2.1112060322129567e-25,9.493462459181462,7.252462103523052
6,2025,Delayed transition,0.0,0.0,0.0,275772318639.83,275772318639.83,3.4014993025437295e-34,3.4014993025437295e-34,10.265745658669898,10.265745658669898
7,2030,Delayed transition,0.0,0.0,0.0,275772318639.83,275772318639.83,3.4014993025437295e-34,3.4014993025437295e-34,10.265745658669898,10.265745658669898
8,2035,Delayed transition,343.556706043628,76956702153.77267,223311858928.35822,198815616486.05734,-24496242442.300873,7.067832086685816e-26,,7.400998627723546,-0.9118833817189916
9,2040,Delayed transition,583.336530035282,130667382727.90315,379168744522.9333,145104935911.92688,-234063808611.0064,5.054641469499679e-19,,5.401594957886,-8.713128057781566
10,2045,Delayed transition,591.538912685074,132504716441.45659,384500293245.2981,143267602198.3734,-241232691046.92468,9.064144417924131e-19,,5.333199403587915,-8.97999285446248
11,2050,Delayed transition,890.375237765118,199444053259.3864,578743904547.3267,76328265380.4436,-502415639166.88306,1.5991653921177484e-08,,2.8413531960996528,-18.70264278903722
12,2025,Net Zero 2050,199.48351555771,44684307484.92704,129664285112.5115,231088011154.90298,101423726042.39148,1.503241233791035e-29,1.3542762439953594e-12,8.602352690744192,3.77554273917406
13,2030,Net Zero 2050,239.540999857945,53657183968.17968,155701649907.66425,222115134671.65033,66413484763.986084,1.4752348341745585e-28,7.372523413275215e-07,8.26833342348033,2.472271133867745
14,2035,Net Zero 2050,320.060806574471,71693620672.6815,208039524273.40613,204078697967.1485,-3960826306.2576294,1.6979196523849402e-26,,7.5969191469845905,-0.1474434985308098
15,2040,Net Zero 2050,488.183229595151,109353043429.31381,317319099236.84814,166419275210.5162,-150899824026.33194,7.23140277680739e-22,,6.195030597841155,-5.617312212599394
16,2045,Net Zero 2050,517.121273435331,115835165249.51414,336128827732.96515,159937153390.31586,-176191674342.6493,5.078636519766083e-21,,5.953730766651064,-6.558812446796446
17,2050,Net Zero 2050,602.380013036337,134933122920.1395,391547008473.6191,140839195719.69052,-250707812753.92856,1.9710679897908808e-18,,5.242800906055668,-9.332708420726698
